Date,Opponent,Total FG Attempted,Total FG Made,Total FG Percentage,3pt FG Attempted,3pt FG Made,3pt FG Percentage
2017-04-10 00:00:00,Utah Jazz,16,9,56.25%,8,6,0.75
2017-05-02 00:00:00,Utah Jazz,11,7,63.64%,4,1,0.25
2017-05-04 00:00:00,Utah Jazz,15,8,53.33%,8,5,0.625
2017-05-06 00:00:00,Utah Jazz,19,6,31.58%,10,3,0.3
2017-05-08 00:00:00,Utah Jazz,15,9,60.00%,10,4,0.4
2018-01-30 00:00:00,Utah Jazz,13,4,30.77%,7,1,0.14285714285714285
2009-12-18 00:00:00,Washington Wizards,17,9,52.94%,9,5,0.5555555555555556
2010-04-06 00:00:00,Washington Wizards,21,10,47.62%,6,3,0.5
2011-03-02 00:00:00,Washington Wizards,18,9,50.00%,7,3,0.42857142857142855
2011-03-27 00:00:00,Washington Wizards,11,3,27.27%,4,1,0.25
2012-03-05 00:00:00,Washington Wizards,7,5,71.43%,3,2,0.6666666666666666
2012-12-08 00:00:00,Washington Wizards,15,7,46.67%,8,2,0.25
2013-03-23 00:00:00,Washington Wizards,18,13,72.22%,10,6,0.6
2014-01-05 00:00:00,Washington Wizards,17,5,29.41%,5,1,0.2
2014-01-28 00:00:00,Washington Wizards,23,8,34.78%,7,2,0.2857142857142857
2015-02-24 00:00:00,Washington Wizards,18,11,61.11%,9,5,0.5555555555555556
2015-03-23 00:00:00,Washington Wizards,14,8,57.14%,8,5,0.625
2016-02-03 00:00:00,Washington Wizards,28,19,67.86%,16,11,0.6875
2016-03-29 00:00:00,Washington Wizards,20,9,45.00%,8,6,0.75
2017-02-28 00:00:00,Washington Wizards,20,9,45.00%,9,2,0.2222222222222222
2017-04-02 00:00:00,Washington Wizards,22,15,68.18%,14,9,0.6428571428571429
2017-10-27 00:00:00,Washington Wizards,19,7,36.84%,13,3,0.23076923076923078
2018-02-28 00:00:00,Washington Wizards,15,5,33.33%,9,4,0.4444444444444444
